SMILES,tg,MinAbsEStateIndex,MolWt,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_CHGHI,BCUT2D_LOGPHI,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0v,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,SMR_VSA10,SMR_VSA5,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,EState_VSA1,EState_VSA2,VSA_EState2,VSA_EState4,VSA_EState6,VSA_EState8,FractionCSP3,HeavyAtomCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,RingCount,MolMR,fr_NH0,fr_amide,fr_aniline,fr_benzene,fr_bicyclic,fr_imide,num_CH3,num_CH2,num_CH,num_C,num_OH,num_COC,num_OC,num_N,num_Hal,num_double_bonds
C=Cc1ccccc1,367.0879272,0.411111111,104.152,96.088,40,0.062901579,-0.09847005,0.09847005,0.062901579,1.625,2.375,3.0,-4.22e-16,-0.007390605,-1.58e-16,-3.8e-17,-0.519279129,3.720408973,442.4120339,4.0,2.0,1.125,1.125,0.625,0.625,0.3125,0.3125,-1.04,1.104685293,6.052071746,0.0,42.30658399,0.0,0.0,36.7431325,0.0,6.052071746,48.35865574,0.0,0.0,-0.411111111,-3.495313681,-0.890249433,0.0,8,0,0,1,1,1,36.533,0,0,0,1,0,0,0,1,1,6,0,0,0,0,0,1
C=C(C)C(=O)OC,375.8393674,1.251273148,100.117,92.053,40,0.332326985,-0.465674779,0.465674779,0.332326985,2.142857143,3.0,3.428571429,-6.16e-33,-8.87e-17,-4.17e-17,-2.4099999999999997e-34,-0.947925002,5.024028743,280.3876042,3.316496581,1.362372436,0.764519551,0.764519551,0.296821848,0.296821848,0.051031036,0.051031036,-0.79,0.965965046,5.969305288,6.851892117,12.10414349,0.0,0.0,12.10414349,0.0,0.0,31.96329336,0.0,11.00689815,-1.251273148,0.0,-4.328240741,0.4,7,0,0,0,0,0,26.83,0,0,0,0,0,0,2,1,0,2,0,1,1,0,0,2
O=C1CCCCCO1,253.5962216,1.983564815,114.144,104.064,46,0.305277534,-0.465675003,0.465675003,0.305277534,1.5,2.375,3.25,2.63e-19,-1.57e-16,-4.54e-16,3.86e-33,-1.087426213,3.624567703,385.8291431,3.816496581,1.862372436,0.991581624,0.991581624,0.484321848,0.484321848,0.236426442,0.236426442,-0.53,1.024574053,5.969305288,25.49169961,0.0,0.0,0.0,0.0,0.0,0.0,38.01999014,0.0,11.33208333,0.0,0.0,-3.49525463,0.833333333,8,1,1,0,0,1,29.427,0,0,0,0,0,0,0,5,0,1,0,1,1,0,0,1
O=C1OCCOC(=O)c2ccc1cc2,346.9880798,0.89525463,192.17,184.106,72,0.337743475,-0.458465718,0.458465718,0.337743475,1.0,1.357142857,1.714285714,12.10924796,-4.32e-17,0.089993258,2.537744176,-0.93289412,2.852637014,610.6523201,6.632993162,3.474744871,2.233163248,2.233163248,1.362372436,1.362372436,0.753050587,0.753050587,-1.84,3.382444174,11.93861058,0.0,35.29657781,0.0,0.0,24.16967483,0.0,0.0,60.35315888,0.0,23.78791856,-1.790509259,-3.625143613,-6.786261338,0.2,14,2,2,1,1,3,47.007,0,0,0,1,7,0,0,2,0,8,0,2,2,0,0,2
C=C,219.999698,0.740740741,28.054,24.022,12,0.053155537,-0.106311075,0.106311075,0.053155537,2.0,2.5,2.5,-0.151713288,-1.144337533,-1.0461301,-0.427216406,-0.588098641,3.675948765,55.61727061,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,0.042408802,0.0,0.0,13.06207792,0.0,0.0,13.06207792,0.0,0.0,13.06207792,0.0,0.0,0.0,0.0,-1.481481481,0.0,2,0,0,0,0,0,11.254,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
C=C(C)C(=O)OCCCC,294.3223062,1.532228875,142.198,128.086,58,0.332602811,-0.462354562,0.462354562,0.332602811,2.0,2.9,3.5,-1.34e-20,-1.09e-16,-8.33e-17,-1.86e-17,-1.123773957,5.879693149,519.8729812,4.816496581,2.112372436,1.116581624,1.116581624,0.461383921,0.461383921,0.148410924,0.148410924,-0.79,1.258487271,5.969305288,26.44963404,12.10414349,0.0,0.0,12.10414349,0.0,0.0,51.08206806,0.0,11.72046107,-1.55868528,0.0,-12.41650502,0.625,10,0,0,0,0,0,40.681,0,0,0,0,0,0,2,4,0,2,0,1,1,0,0,2
C=C(C)C,198.3780338,1.087962963,56.108,48.044,24,0.053707066,-0.100419849,0.100419849,0.053707066,2.25,3.0,3.0,-3.14e-15,-0.042733549,-5.97e-17,-1.15e-16,-0.986533065,5.130888313,172.08385,2.0,0.75,0.375,0.375,0.0,0.0,0.0,0.0,-0.26,0.243424432,0.0,13.70378423,12.10414349,0.0,0.0,12.10414349,0.0,0.0,25.80792773,0.0,0.0,-1.087962963,0.0,-6.927083333,0.5,4,0,0,0,0,0,20.488,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1
C=CC(=O)O,377.7950005,0.912037037,72.063,68.031,28,0.327198112,-0.478089149,0.478089149,0.327198112,2.8,3.6,3.8,10.74473633,1.39e-16,-5.55e-17,6.08e-17,-0.739581205,4.206976833,147.8917376,2.316496581,0.90824829,0.412457479,0.412457479,0.102062073,0.102062073,0.0,0.0,-0.79,0.83449095,5.969305288,0.0,12.58311071,0.0,0.0,12.58311071,0.0,1.431199657,18.552416,0.0,10.05814815,0.0,-0.912037037,-0.95162037,0.0,5,0,0,0,0,0,17.8328,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2
C=C(C)C(=O)OCCCCCC,264.5338837,1.631077207,170.252,152.108,70,0.332602812,-0.462354375,0.462354375,0.332602812,1.666666667,2.583333333,3.25,-2.62e-16,-1.8e-16,-1.7e-16,-1.08e-16,-1.148034713,6.398575621,690.7361084,5.816496581,2.612372436,1.366581624,1.366581624,0.586383921,0.586383921,0.210910924,0.210910924,-0.79,1.468422142,5.969305288,39.19548384,12.10414349,0.0,0.0,12.10414349,0.0,0.0,63.82791786,0.0,11.95942519,-1.677252023,0.0,-13.1086215,0.7,12,0,0,0,0,0,49.915,0,0,0,0,0,0,2,6,0,2,0,1,1,0,0,2
C=CC(=O)OCC,250.7996805,1.179313114,100.117,92.053,40,0.329627783,-0.462840392,0.462840392,0.329627783,2.714285714,3.571428571,4.142857143,6.74e-17,-1.05e-17,-1.33e-16,-9.639999999999999e-34,-1.053348116,4.781245292,285.8973792,3.316496581,1.362372436,0.616581624,0.616581624,0.245790812,0.245790812,0.07186437,0.07186437,-0.79,0.965965046,5.969305288,6.851892117,12.58311071,0.0,0.0,12.58311071,0.0,0.0,31.96329336,0.0,10.84918981,0.0,-1.205439815,-7.610869709,0.4,7,0,0,0,0,0,26.83,0,0,0,0,0,0,1,2,1,1,0,1,1,0,0,2
